Model,Mean Squared Error,Mean Absolute Percentage Error,Mean Absolute Error
0,2505236.659987133,1.0245825791307028,1483.8103406375087
1,90990.05987888367,0.07224527770648353,157.29687527621078
2,45690.67836282112,0.052149587342813865,111.45938651772201
3,79316.1347742193,0.06816043797805178,148.02514183728337
4,47944.44795824782,0.05734831291798009,119.35840150047001
5,29598.713547936768,0.05404027682258052,105.28170640721832
6,94169.32002585995,0.06473106837687029,141.95917386101243
7,48660.36448542052,0.06122393376056239,124.82256866623855
8,407123.2894236709,0.23542138383492198,442.007033985891
9,269136.2202313935,0.1325163656517406,291.8151507411821
