Model,Mean Squared Error,Mean Absolute Percentage Error,Mean Absolute Error
0,405942.7856465882,0.331940656165724,515.4559903452516
1,453146.45884317457,0.3381234897631038,536.0497481766336
2,446307.7996857617,0.34727666081434266,544.9175809702567
3,213973.2845740192,0.177984137929862,322.6207791444297
4,234796.14870339137,0.18640839254310435,334.6896362656244
5,241481.8492692357,0.1957193363109555,350.4485253312567
6,354792.31906157674,0.21284441141739363,402.10055776294104
7,149400.60249462104,0.0899855408744253,202.57209344675485
8,420233.02320548217,0.24287349779437045,453.13278203125
9,408892.45369953406,0.24823252930354034,453.1227494516226
