Model,Mean Squared Error,Mean Absolute Percentage Error,Mean Absolute Error
0,735991.223865703,0.3582854808156376,680.9650595954807
1,129028.99205991947,0.09318485600422416,192.01608206214314
2,84161.10161987388,0.07467714926821983,151.68624649632184
3,150578.67228293105,0.10366615171760739,214.47661068767863
4,117006.00559141573,0.09311157004915654,186.45674801384698
5,78367.64848690132,0.07792875387765887,151.87793533936835
6,249430.10075948108,0.15566944026615567,305.2467111482172
7,114614.0513002581,0.08331574893764779,172.6345739612606
8,310186.7362805357,0.17817449837231783,349.1497220747247
9,118385.0856964392,0.07657601092051304,168.20351881871645
